Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Pegasus 3,"$599,266,655","$1,374,946",0.2%,"$597,891,709",99.8%
2,Wuthering Heights,"$226,563,318","$82,163,318",36.3%,"$144,400,000",63.7%
3,Scream 7,"$177,977,862","$107,577,862",60.4%,"$70,400,000",39.6%
4,Hoppers,"$168,677,616","$90,618,975",53.7%,"$78,058,641",46.3%
5,Blades of the Guardians,"$168,462,054","$1,562,054",0.9%,"$166,900,000",99.1%
6,GOAT,"$163,536,596","$91,336,596",55.9%,"$72,200,000",44.1%
7,Scare Out,"$160,000,000",-,-,"$160,000,000",100%
8,Boonie Bears: The Hidden Protector,"$139,300,000",-,-,"$139,300,000",100%
9,Send Help,"$93,434,148","$64,127,462",68.6%,"$29,306,686",31.4%
10,The Man Who Lives with the King,"$89,783,482","$2,396,936",2.7%,"$87,386,546",97.3%
11,Crime 101,"$67,095,435","$35,695,435",53.2%,"$31,400,000",46.8%
12,28 Years Later: The Bone Temple,"$57,850,660","$25,147,583",43.5%,"$32,703,077",56.5%
13,Mercy,"$54,310,041","$24,390,303",44.9%,"$29,919,738",55.1%
14,Iron Lung,"$49,967,488","$40,851,941",81.8%,"$9,115,547",18.2%
15,Shelter,"$48,145,406","$12,805,541",26.6%,"$35,339,865",73.4%
16,Return to Silent Hill,"$47,372,051","$5,544,971",11.7%,"$41,827,080",88.3%
17,Greenland 2: Migration,"$44,513,531","$17,770,308",39.9%,"$26,743,223",60.1%
18,Marsupilami,"$43,601,347",-,-,"$43,601,347",100%
19,Primate,"$41,562,111","$25,635,665",61.7%,"$15,926,446",38.3%
20,Reminders of Him,"$30,081,335","$19,647,665",65.3%,"$10,433,670",34.7%
21,Night King,"$26,700,000",-,-,"$26,700,000",100%
22,Solo Mio,"$25,865,939","$25,503,309",98.6%,"$362,630",1.4%
23,Skazka o tsare Saltane,"$25,170,770",-,-,"$25,170,770",100%
24,Stray Kids: The dominATE Experience,"$23,465,818","$7,232,818",30.8%,"$16,233,000",69.2%
25,EPiC: Elvis Presley in Concert,"$22,436,904","$12,544,904",55.9%,"$9,892,000",44.1%
26,Until We Meet Again,"$22,147,142",-,-,"$22,147,142",100%
27,Extrawurst,"$21,927,663",-,-,"$21,927,663",100%
28,The Bride!,"$20,836,714","$11,536,714",55.4%,"$9,300,000",44.6%
29,I Can Only Imagine 2,"$17,871,853","$17,744,405",99.3%,"$127,448",0.7%
30,Melania,"$16,650,069","$16,357,453",98.2%,"$292,616",1.8%
31,Little Rabbit,"$16,530,400",-,-,"$16,530,400",100%
32,Guru,"$16,151,238",-,-,"$16,151,238",100%
33,Hypnosismic -Division Rap Battle- Rule the Stage -Battle of Pride 2023,"$15,069,212","$58,276",0.4%,"$15,010,936",99.6%
34,Mobile Suit Gundam Hathaway: The Sorcery of Nymph Circe,"$14,757,110",-,-,"$14,757,110",100%
35,Humint,"$13,314,648",-,-,"$13,314,648",100%
36,The Three Investigators: Isle of Death,"$12,798,810",-,-,"$12,798,810",100%
37,Svadba,"$12,724,696",-,-,"$12,724,696",100%
38,"Ach, diese Lücke, diese entsetzliche Lücke","$12,200,505",-,-,"$12,200,505",100%
39,Kyojo: Requiem,"$11,599,921",-,-,"$11,599,921",100%
40,How to Make a Killing,"$10,250,973","$7,739,597",75.5%,"$2,511,376",24.5%
41,Woodwalkers 2,"$10,055,365",-,-,"$10,055,365",100%
42,Children of the Resistance,"$9,421,034",-,-,"$9,421,034",100%
43,The Money Maker,"$9,412,004",-,-,"$9,412,004",100%
44,Undertone,"$9,339,663","$9,339,663",100%,-,-
45,The Strangers: Chapter 3,"$9,224,814","$8,560,986",92.8%,"$663,828",7.2%
46,Doraemon: Nobita and the New Castle of the Undersea Devil,"$9,068,024",-,-,"$9,068,024",100%
47,"Good Luck, Have Fun, Don't Die","$8,802,317","$8,380,237",95.2%,"$422,080",4.8%
48,The Lord of the Rings: The Return of the King 2026 Re-release,"$8,309,032","$3,971,340",47.8%,"$4,315,214",51.9%
49,Checker Tobi 3: Die heimliche Herrscherin der Erde,"$8,017,475",-,-,"$8,017,475",100%
50,Torrente for President,"$8,000,000",-,-,"$8,000,000",100%
51,The Things Left Unspoken,"$7,934,200",-,-,"$7,934,200",100%
52,Gintama: Yoshiwara in Flames,"$7,775,909",-,-,"$7,775,909",100%
53,LOL 2.0,"$7,262,297",-,-,"$7,262,297",100%
54,The Wizard of the Kremlin,"$7,144,421",-,-,"$7,144,421",100%
55,The Lord of the Rings: The Fellowship of the Ring 2026 Re-release,"$6,955,087","$5,940,331",85.4%,"$960,126",13.8%
56,Aida: The Movie,"$5,968,387","$217,000",3.6%,"$5,751,387",96.4%
57,Twenty One Pilots: More Than We Ever Imagined,"$5,837,953","$4,300,000",73.7%,"$1,537,953",26.3%
58,Bendito Corazon,"$5,794,111","$2,997,508",51.7%,"$2,796,603",48.3%
59,D.I.S.C.O.,"$5,407,049",-,-,"$5,407,049",100%
60,The Lord of the Rings: The Two Towers 2026 Re-release,"$5,339,028","$4,093,642",76.7%,"$1,245,386",23.3%
61,Will You Be My Girlfriend?.,"$5,180,744",-,-,"$5,180,744",100%
62,The Moment,"$5,036,357","$3,886,271",77.2%,"$1,150,086",22.8%
63,Cosmic Princess Kaguya!,"$5,029,784",-,-,"$5,029,784",100%
64,Blood Paradise,"$4,856,164",-,-,"$4,856,164",100%
65,City Boys: Golden Boyz,"$4,320,596",-,-,"$4,320,596",100%
66,Agata Christian: Crime on the Snow,"$4,268,352",-,-,"$4,268,352",100%
67,A Room Called Home,"$4,221,826",-,-,"$4,221,826",100%
68,Chers parents,"$4,218,444",-,-,"$4,218,444",100%
69,Krasavitsa,"$4,197,232",-,-,"$4,197,232",100%
70,Nirvanna the Band the Show the Movie,"$4,087,357","$3,803,980",93.1%,"$283,377",6.9%
71,A Gift from Heaven,"$3,958,093",-,-,"$3,958,093",100%
72,The American Dream,"$3,953,906",-,-,"$3,953,906",100%
73,We Bury the Dead,"$3,883,672","$3,711,918",95.6%,"$171,754",4.4%
74,Cold Storage,"$3,770,001","$1,529,234",40.6%,"$2,240,767",59.4%
75,Levsha,"$3,720,170",-,-,"$3,720,170",100%
76,2026 Oscar Nominated Short Films,"$3,637,795","$3,637,795",100%,-,-
77,The Frog Princess 2,"$3,563,869",-,-,"$3,563,869",100%
78,Whistle,"$3,511,947","$1,250,972",35.6%,"$2,260,975",64.4%
79,Abuela Tremenda,"$3,482,323",-,-,"$3,482,323",100%
80,L'infiltrée,"$3,452,706",-,-,"$3,452,706",100%
81,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,"$3,330,566",-,-,"$3,330,566",100%
82,Les Légendaires,"$3,208,487",-,-,"$3,208,487",100%
83,Kardes Takimi 3,"$3,184,780",-,-,"$3,184,780",100%
84,Novaya tyoshcha,"$3,175,652",-,-,"$3,175,652",100%
85,Kobikicho no Adauchi,"$3,149,067",-,-,"$3,149,067",100%
86,Dragoste la tara,"$3,034,365",-,-,"$3,034,365",100%
87,Efes'in Sirri,"$2,783,009",-,-,"$2,783,009",100%
88,Clika,"$2,644,377","$2,644,377",100%,-,-
89,Psycho Killer,"$2,555,070","$2,555,070",100%,-,-
90,Dead Man's Wire,"$2,504,453","$2,236,813",89.3%,"$267,640",10.7%
91,2 cuori e 2 capanne,"$2,466,899",-,-,"$2,466,899",100%
92,Idols,"$2,434,516",-,-,"$2,434,516",100%
93,Die Ältern,"$2,433,697",-,-,"$2,433,697",100%
94,Lavoreremo da grandi,"$2,394,150",-,-,"$2,394,150",100%
95,Band Together,"$2,368,299",-,-,"$2,368,299",100%
96,Heaven: A Letter to My Mother,"$2,362,160",-,-,"$2,362,160",100%
97,Korol i Shut. Navsegda,"$2,339,039",-,-,"$2,339,039",100%
98,H Is for Hawk,"$2,290,104","$328,748",14.4%,"$1,961,356",85.6%
99,Enhypen: Walk the Line Summer Edition - in Cinemas,"$2,157,426","$1,149,451",53.3%,"$1,007,975",46.7%
100,Con Ke Ba Nghe,"$2,131,544",-,-,"$2,131,544",100%
101,2026 Oscar Nominated Short Films: Animation,"$2,087,582","$2,087,582",100%,-,-
102,Ein fast perfekter Antrag,"$2,070,984",-,-,"$2,070,984",100%
103,The Lord of the Rings: The Return of the King 2025 Re-release,"$2,066,297","$1,126,085",54.5%,"$937,403",45.4%
104,"Shinbi's Haunted House: 10th anniversary Movie: One more time, summoning","$2,057,037",-,-,"$2,057,037",100%
105,I Was a Stranger,"$2,045,891","$2,008,686",98.2%,"$37,205",1.8%
106,Border 2,"$2,021,266",-,-,"$2,021,266",100%
107,Prendiamoci una pausa,"$2,016,401",-,-,"$2,016,401",100%
108,At Work,"$2,011,921",-,-,"$2,011,921",100%
109,Ginga Tokkyuu Milky Subway Kakueki Teisha Gekijou Iki,"$1,974,753",-,-,"$1,974,753",100%
110,BE:the One - Start Beyond Dreams,"$1,960,818",-,-,"$1,960,818",100%
111,A Beautiful Day,"$1,928,665",-,-,"$1,928,665",100%
112,The Snowball on a Sunny Day,"$1,858,675",-,-,"$1,858,675",100%
113,Tai,"$1,842,992",-,-,"$1,842,992",100%
114,The Pout-Pout Fish,"$1,835,928",-,-,"$1,835,928",100%
115,"Furcy, né libre","$1,805,792",-,-,"$1,805,792",100%
116,Number One,"$1,784,478",-,-,"$1,784,478",100%
117,Summer Beats,"$1,695,288",-,-,"$1,695,288",100%
118,Kiki's Delivery Service 2026 Re-release,"$1,676,999","$1,676,999",100%,-,-
119,Hungarian Wedding,"$1,622,198",-,-,"$1,622,198",100%
120,Maigret in Society,"$1,601,168",-,-,"$1,601,168",100%
121,No Kids,"$1,594,768",-,-,"$1,594,768",100%
122,The Specials,"$1,582,927",-,-,"$1,582,927",100%
123,Malyshariki. Den rozhdeniya,"$1,532,733",-,-,"$1,532,733",100%
124,The Camphorwood Custodian,"$1,509,585",-,-,"$1,509,585",100%
125,Scent of Pho,"$1,476,523",-,-,"$1,476,523",100%
126,Teenage Mutant Ninja Turtles II: The Secret of the Ooze 2026 Re-release,"$1,476,000","$1,476,000",100%,-,-
127,Running Man Viet Nam Mua 3: Con Roi Tu Do,"$1,467,338",-,-,"$1,467,338",100%
128,Havfolket,"$1,453,323",-,-,"$1,453,323",100%
129,Uvolit Zhoru,"$1,443,448",-,-,"$1,443,448",100%
130,Giant,"$1,436,745",-,-,"$1,436,745",100%
131,Couture,"$1,405,121",-,-,"$1,405,121",100%
132,"The Day, December 3, 2024 'Fabricated Insurrection, Hidden Truth","$1,405,008",-,-,"$1,405,008",100%
133,Sirat 2026 Re-release,"$1,393,503","$1,360,870",97.7%,"$32,633",2.3%
134,A Little Dream of Me,"$1,373,816",-,-,"$1,373,816",100%
135,Feels Like Home,"$1,360,082",-,-,"$1,360,082",100%
136,Saipan,"$1,332,383",-,-,"$1,332,383",100%
137,Societies by Accident,"$1,331,801",-,-,"$1,331,801",100%
138,Be Gentle with Yourself,"$1,325,683",-,-,"$1,325,683",100%
139,Mutluyuz Mu?,"$1,289,090",-,-,"$1,289,090",100%
140,Kommentiruy eto,"$1,265,230",-,-,"$1,265,230",100%
141,Protector,"$1,232,811","$1,210,443",98.2%,"$22,368",1.8%
142,Kdyz se zhasne,"$1,229,677",-,-,"$1,229,677",100%
143,Midwinter Break,"$1,187,922","$1,002,905",84.4%,"$185,017",15.6%
144,Ariyoshi's Wall: Theatrical Ad-lib Taiga - 18 People in the Interesting Castle,"$1,126,313",-,-,"$1,126,313",100%
145,Revenge,"$1,095,711",-,-,"$1,095,711",100%
146,Milijonieriaus Jubiliejus,"$1,078,126",-,-,"$1,078,126",100%
147,Ai Thuong Ai Men,"$1,071,488",-,-,"$1,071,488",100%
148,Wasteman,"$1,066,382",-,-,"$1,066,382",100%
149,Ketenpere: Dalavere,"$1,050,158",-,-,"$1,050,158",100%
150,Tyulpany,"$1,036,024",-,-,"$1,036,024",100%
151,Arco 2026 Re-release,"$1,027,718","$1,000,913",97.4%,"$26,805",2.6%
152,La Fiera,"$1,023,133",-,-,"$1,023,133",100%
153,Balandrau: Where the Fierce Wind Blew,"$1,019,519",-,-,"$1,019,519",100%
154,Chatha Pacha,"$1,019,182",-,-,"$1,019,182",100%
155,The Raja Saab,"$1,016,035",-,-,"$1,016,035",100%
156,Diabolic,"$987,422",-,-,"$987,422",100%
157,Beléd estem,"$979,848",-,-,"$979,848",100%
158,Checkered Ninja 3,"$971,485",-,-,"$971,485",100%
159,A Place for Her,"$967,339",-,-,"$967,339",100%
160,Seima i gamta,"$964,099",-,-,"$964,099",100%
161,JO1DER Show 2025 Wherever We Are in Tokyo Dome Live Film,"$954,645",-,-,"$954,645",100%
162,O' Romeo,"$954,188",-,-,"$954,188",100%
163,Mother's Pride,"$948,978",-,-,"$948,978",100%
164,The Convenience Store,"$914,146",-,-,"$914,146",100%
165,Project Y,"$910,882",-,-,"$910,882",100%
166,Dobryy doktor,"$879,646",-,-,"$879,646",100%
167,Mana ShankaraVaraprasad Garu,"$855,939",-,-,"$855,939",100%
168,Calle Málaga,"$850,170",-,-,"$850,170",100%
169,Our House,"$844,471",-,-,"$844,471",100%
170,Infinite Icon: A Visual Memoir,"$817,441","$401,664",49.1%,"$415,777",50.9%
171,Svihaci,"$808,394",-,-,"$808,394",100%
172,Vakkenvullers XL,"$792,109",-,-,"$792,109",100%
173,Mardaani 3,"$768,088",-,-,"$768,088",100%
174,Parasakthi,"$767,881",-,-,"$767,881",100%
175,Dolly,"$759,210","$697,506",91.9%,"$61,704",8.1%
176,Yura Was Here,"$752,641",-,-,"$752,641",100%
177,All You Need Is Kill,"$741,418","$695,290",93.8%,"$46,128",6.2%
178,Madagascar 2026 Re-release,"$708,665","$708,665",100%,-,-
179,Evolution,"$693,222",-,-,"$693,222",100%
180,Slanted,"$675,543","$675,543",100%,-,-
181,The Confession,"$674,598",-,-,"$674,598",100%
182,Ravioli Oli,"$646,269",-,-,"$646,269",100%
183,Baise-en-ville,"$642,600",-,-,"$642,600",100%
184,App the Horror,"$636,132",-,-,"$636,132",100%
185,Labyrinth 2026 Re-release,"$635,521",-,-,"$635,521",100%
186,Standout: The Ben Kjar Story,"$614,520","$614,520",100%,-,-
187,Stur,"$613,690",-,-,"$613,690",100%
188,The Dangers in My Heart,"$609,863",-,-,"$609,863",100%
189,Handbok för superhjältar,"$604,343",-,-,"$604,343",100%
190,Papa mozhet,"$592,705",-,-,"$592,705",100%
191,Hamlet,"$587,326",-,-,"$587,326",100%
192,Traction Park Massacre,"$570,368",-,-,"$570,368",100%
193,The Revenant 10th Anniversary,"$563,943","$549,591",97.5%,"$14,352",2.5%
194,Princess Stella,"$517,437",-,-,"$517,437",100%
195,The Metropolitan Opera HD Live: Vincenzo Bellini: I Puritani,"$516,533",-,-,"$516,533",100%
196,Tripping With My Family,"$506,909",-,-,"$506,909",100%
197,My Father's Shadow,"$480,346","$105,898",22%,"$374,448",78%
198,The Mortuary Assistant,"$470,102","$454,776",96.7%,"$15,326",3.3%
199,Fukuyama Masaharu raivu firumu@ Nagasaki gekko zutto kono hikari ni tsunagatte itanda,"$469,150",-,-,"$469,150",100%
200,Prakambanam,"$460,175",-,-,"$460,175",100%
