Rank,Release Group,Worldwide,Domestic,%,Foreign,%
89,Lavoreremo da grandi,"$2,394,150",-,-,"$2,394,150",100%
90,Band Together,"$2,368,299",-,-,"$2,368,299",100%
91,Heaven: A Letter to My Mother,"$2,337,078",-,-,"$2,337,078",100%
92,Korol i Shut. Navsegda,"$2,300,671",-,-,"$2,300,671",100%
93,H Is for Hawk,"$2,286,800","$325,444",14.2%,"$1,961,356",85.8%
94,Con Ke Ba Nghe,"$2,131,544",-,-,"$2,131,544",100%
95,2026 Oscar Nominated Short Films: Animation,"$2,087,582","$2,087,582",100%,-,-
96,The Lord of the Rings: The Return of the King 2025 Re-release,"$2,076,683","$1,126,085",54.2%,"$927,418",44.7%
97,Ein fast perfekter Antrag,"$2,070,984",-,-,"$2,070,984",100%
98,"Shinbi's Haunted House: 10th anniversary Movie: One more time, summoning","$2,057,037",-,-,"$2,057,037",100%
99,I Was a Stranger,"$2,039,066","$2,008,686",98.5%,"$30,380",1.5%
100,Border 2,"$2,021,266",-,-,"$2,021,266",100%
101,Prendiamoci una pausa,"$2,016,401",-,-,"$2,016,401",100%
102,At Work,"$2,011,921",-,-,"$2,011,921",100%
103,Ginga Tokkyuu Milky Subway Kakueki Teisha Gekijou Iki,"$1,974,753",-,-,"$1,974,753",100%
104,The Frog Princess 2,"$1,969,655",-,-,"$1,969,655",100%
105,BE:the One - Start Beyond Dreams,"$1,960,818",-,-,"$1,960,818",100%
106,A Beautiful Day,"$1,928,665",-,-,"$1,928,665",100%
107,The Snowball on a Sunny Day,"$1,858,675",-,-,"$1,858,675",100%
108,The Pout-Pout Fish,"$1,856,034",-,-,"$1,856,034",100%
109,Tai,"$1,842,992",-,-,"$1,842,992",100%
110,"Furcy, né libre","$1,805,792",-,-,"$1,805,792",100%
111,Novaya tyoshcha,"$1,769,814",-,-,"$1,769,814",100%
112,Number One,"$1,731,111",-,-,"$1,731,111",100%
113,Summer Beats,"$1,695,288",-,-,"$1,695,288",100%
114,Hungarian Wedding,"$1,608,151",-,-,"$1,608,151",100%
115,Maigret in Society,"$1,601,168",-,-,"$1,601,168",100%
116,No Kids,"$1,594,768",-,-,"$1,594,768",100%
117,The Specials,"$1,550,831",-,-,"$1,550,831",100%
118,The Camphorwood Custodian,"$1,509,585",-,-,"$1,509,585",100%
119,Scent of Pho,"$1,476,523",-,-,"$1,476,523",100%
120,Running Man Viet Nam Mua 3: Con Roi Tu Do,"$1,467,338",-,-,"$1,467,338",100%
121,Uvolit Zhoru,"$1,460,863",-,-,"$1,460,863",100%
122,Giant,"$1,433,317",-,-,"$1,433,317",100%
123,"The Day, December 3, 2024 'Fabricated Insurrection, Hidden Truth","$1,404,137",-,-,"$1,404,137",100%
124,Havfolket,"$1,394,934",-,-,"$1,394,934",100%
125,A Little Dream of Me,"$1,373,816",-,-,"$1,373,816",100%
126,Saipan,"$1,331,062",-,-,"$1,331,062",100%
127,Couture,"$1,312,882",-,-,"$1,312,882",100%
128,Kommentiruy eto,"$1,265,230",-,-,"$1,265,230",100%
129,Kdyz se zhasne,"$1,185,980",-,-,"$1,185,980",100%
130,Sirat 2026 Re-release,"$1,158,374","$1,158,173",100%,$201,<0.1%
131,Ariyoshi's Wall: Theatrical Ad-lib Taiga - 18 People in the Interesting Castle,"$1,126,313",-,-,"$1,126,313",100%
132,Mutluyuz Mu?,"$1,106,509",-,-,"$1,106,509",100%
133,Milijonieriaus Jubiliejus,"$1,078,126",-,-,"$1,078,126",100%
134,Ai Thuong Ai Men,"$1,071,488",-,-,"$1,071,488",100%
135,Wasteman,"$1,066,382",-,-,"$1,066,382",100%
136,Feels Like Home,"$1,061,845",-,-,"$1,061,845",100%
137,Malyshariki. Den rozhdeniya,"$1,052,704",-,-,"$1,052,704",100%
138,Ketenpere: Dalavere,"$1,050,158",-,-,"$1,050,158",100%
139,Protector,"$1,044,053","$1,044,053",100%,-,-
140,La Fiera,"$1,023,133",-,-,"$1,023,133",100%
141,Arco 2026 Re-release,"$1,021,694","$1,000,913",98%,"$20,781",2%
142,Balandrau: Where the Fierce Wind Blew,"$1,019,519",-,-,"$1,019,519",100%
143,Chatha Pacha,"$1,019,182",-,-,"$1,019,182",100%
144,Midwinter Break,"$1,017,065","$1,002,905",98.6%,"$14,160",1.4%
145,The Raja Saab,"$1,016,035",-,-,"$1,016,035",100%
146,Diabolic,"$987,422",-,-,"$987,422",100%
147,Checkered Ninja 3,"$971,485",-,-,"$971,485",100%
148,A Place for Her,"$967,339",-,-,"$967,339",100%
149,JO1DER Show 2025 Wherever We Are in Tokyo Dome Live Film,"$954,645",-,-,"$954,645",100%
150,Mother's Pride,"$948,978",-,-,"$948,978",100%
151,Beléd estem,"$946,117",-,-,"$946,117",100%
152,O' Romeo,"$941,327",-,-,"$941,327",100%
153,The Convenience Store,"$914,146",-,-,"$914,146",100%
154,Project Y,"$910,882",-,-,"$910,882",100%
155,Seima i gamta,"$910,733",-,-,"$910,733",100%
156,Dobryy doktor,"$879,646",-,-,"$879,646",100%
157,Mana ShankaraVaraprasad Garu,"$855,939",-,-,"$855,939",100%
158,Calle Málaga,"$850,170",-,-,"$850,170",100%
159,Our House,"$844,471",-,-,"$844,471",100%
160,Infinite Icon: A Visual Memoir,"$817,441","$401,664",49.1%,"$415,777",50.9%
161,Svihaci,"$808,394",-,-,"$808,394",100%
162,Parasakthi,"$767,881",-,-,"$767,881",100%
163,Mardaani 3,"$765,390",-,-,"$765,390",100%
164,All You Need Is Kill,"$741,418","$695,290",93.8%,"$46,128",6.2%
165,Yura Was Here,"$733,907",-,-,"$733,907",100%
